CodigoReceita,Idade,TipoTraco,CodigoAglomerante,FCK,RelacaoAguaCimento
34907051,28,N,75051,25,0.704
35929051,28,N,79051,25,0.742
37521051,28,N,77051,25,0.68
37904051,28,N,82051,25,0.697
38300051,28,N,85051,25,0.74
38335051,28,N,85051,25,0.663
38354051,28,N,88051,25,0.633
38981051,28,N,81051,25,0.712
39352051,28,N,94051,25,0.679
39710051,28,N,96051,25,0.739
40040051,28,N,93051,25,0.691
40583051,28,N,68051,25,0.771
40931051,28,N,62051,25,0.802
41800051,28,N,91051,25,0.727
42079051,28,N,95051,25,0.773
42116051,28,N,92051,25,0.727
42453051,28,N,4051,25,0.807
43783051,28,N,107051,25,0.886
43805051,28,N,106051,25,0.888
44084051,28,N,11051,25,0.794
44275051,28,N,108051,25,0.871
44276051,28,N,109051,25,0.871
45157051,28,N,108051,25,0.858
17051,28,N,3051,30,0.605
364051,28,N,8051,30,0.695
365051,28,N,41051,30,0.7
366051,28,N,12051,30,0.577
531051,28,N,3051,30,0.68
691051,28,N,41051,30,0.636
751051,28,N,13051,30,0.63
1056051,28,N,10051,30,0.767
1360051,28,N,15051,30,0.688
1947051,28,N,14051,30,0.731
2581051,28,N,11051,30,0.581
2774051,28,N,18051,30,0.642
3201051,28,N,7051,30,0.736
3843051,28,N,15051,30,0.638
4055051,28,N,4051,30,0.72
4466051,28,N,17051,30,0.668
4897051,28,N,18051,30,0.637
5020051,28,N,25051,30,0.576
5210051,28,N,24051,30,0.675
5749051,28,N,17051,30,0.767
6796051,28,N,10051,30,0.668
8101051,28,N,26051,30,0.673
8974051,28,N,29051,30,0.643
10864051,28,N,27051,30,0.668
14991051,28,N,43051,30,0.575
16063051,28,N,46051,30,0.566
16247051,28,N,10051,30,0.67
16280051,28,N,17051,30,0.643
19551051,28,N,18051,30,0.617
19717051,28,N,14051,30,0.72
19723051,28,N,15051,30,0.64
20251051,28,N,55051,30,0.675
20823051,28,N,57051,30,0.64
21310051,28,N,59051,30,0.557
22386051,28,N,60051,30,0.643
22426051,28,N,41051,30,0.63
22490051,28,N,62051,30,0.654
22507051,28,N,42051,30,0.658
23807051,28,N,63051,30,0.621
23809051,28,N,15051,30,0.64
24148051,28,N,64051,30,0.609
25845051,28,N,63051,30,0.581
25847051,28,N,41051,30,0.592
25849051,28,N,64051,30,0.609
26376051,28,N,64051,30,0.594
26544051,28,N,65051,30,0.563
26922051,28,N,10051,30,0.605
27119051,28,N,63051,30,0.594
27121051,28,N,41051,30,0.579
28036051,28,N,60051,30,0.643
28038051,28,N,61051,30,0.685
28289051,28,N,13051,30,0.63
28439051,28,N,66051,30,0.646
28592051,28,N,67051,30,0.576
29002051,28,N,12051,30,0.577
29191051,28,N,68051,30,0.632
29233051,28,N,68051,30,0.677
29613051,28,N,62051,30,0.677
29691051,28,N,70051,30,0.608
29897051,28,N,71051,30,0.618
30004051,28,N,72051,30,0.627
30471051,28,N,70051,30,0.69
30763051,28,N,61051,30,0.689
31252051,28,N,71051,30,0.618
31546051,28,N,28051,30,0.689
31815051,28,N,69051,30,0.622
32184051,28,N,66051,30,0.646
35230051,28,N,61051,30,0.638
35781051,28,N,79051,30,0.673
36230051,28,N,28051,30,0.661
37766051,28,N,75051,30,0.634
38390051,28,N,85051,30,0.605
38391051,28,N,83051,30,0.64
38711051,28,N,88051,30,0.578
39506051,28,N,94051,30,0.615
39807051,28,N,96051,30,0.669
40062051,28,N,93051,30,0.619
40637051,28,N,68051,30,0.689
40639051,28,N,62051,30,0.716
41750051,28,N,91051,30,0.66
41752051,28,N,92051,30,0.66
42022051,28,N,95051,30,0.702
42042051,28,N,11051,30,0.725
43005051,28,N,4051,30,0.731
43851051,28,N,107051,30,0.802
43852051,28,N,106051,30,0.802
44296051,28,N,108051,30,0.73
44542051,28,N,12051,30,0.538
45159051,28,N,108051,30,0.777
32051,28,N,3051,35,0.539
33051,28,N,8051,35,0.607
34051,28,N,41051,35,0.58
35051,28,N,12051,35,0.519
1450051,28,N,15051,35,0.571
2790051,28,N,18051,35,0.576
