CodigoCentroSaida,CodigoGrupoInsumo,CodigoInsumo,CodigoFornecedor,Ativo,DensidadeReal,DensidadeAparente,DataAlteracao
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:10.36
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:10.39
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:10.423
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:10.453
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:10.5
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:10.533
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:10.58
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:10.61
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:10.657
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:10.69
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:10.72
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:10.767
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:10.797
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:10.83
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:10.86
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:10.89
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:10.923
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:10.97
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:11.017
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:11.047
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:11.08
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:11.11
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:11.14
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:11.19
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:11.22
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:11.25
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:11.297
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:11.343
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:11.39
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:11.44
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:11.47
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:11.517
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:11.547
51020,E,2,200350,S,2.2,1.35,2010-06-30 19:07:58.94
60020,E,9,200350,S,2.95,1.35,2010-07-01 16:59:45.573
51120,B,6,200350,S,2.74,1.47,2010-08-25 17:19:11.747
51120,E,9,200350,S,2.95,1.35,2010-09-30 13:23:37.51
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:11.58
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:11.627
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:11.657
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:11.69
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:11.737
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:11.783
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:11.813
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:11.86
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:11.907
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:11.953
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:11.987
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:12.017
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:12.063
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:12.093
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:12.127
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:12.157
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:12.203
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:12.237
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:12.283
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:12.33
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:12.39
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:12.423
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:12.453
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:12.487
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:12.533
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:12.563
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:12.627
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:12.673
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:12.703
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:12.75
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:12.797
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:12.843
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:12.877
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:12.923
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:12.953
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:12.987
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:13.033
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:13.08
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:13.127
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:13.173
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:13.237
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:13.283
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:13.33
51020,B,3,200350,S,2.681,1.423,2010-11-11 11:09:13.39
51020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:13.423
51020,B,1,200350,S,2.618,1.331,2010-11-11 11:09:13.453
51020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:13.5
51020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:13.533
51020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:13.563
51020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:13.593
51020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:13.64
51120,B,3,200350,S,2.681,1.423,2010-11-11 11:09:13.673
51120,B,6,200350,S,2.74,1.47,2010-07-06 09:02:09.15
51120,B,1,200350,S,2.618,1.331,2010-08-06 15:50:05.623
51120,D,10,200350,S,1.125,1.125,2010-11-11 11:09:13.72
51120,B,1,200350,S,2.618,1.331,2010-11-11 11:09:13.75
51120,B,4,200350,S,2.688,1.376,2010-11-11 11:09:13.797
51120,B,6,200350,S,2.74,1.47,2010-11-11 11:09:13.83
51120,E,9,200350,S,2.95,1.35,2010-11-11 11:09:13.877
51120,E,12,200350,S,2.2,1.35,2010-11-11 11:09:13.907
51120,C,13,200350,S,3.15,1.35,2010-11-11 11:09:13.94
60020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:14.127
60020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:14.157
60020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:14.203
60020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:14.25
60020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:14.297
60020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:14.33
60020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:14.377
60020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:14.423
60020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:14.453
60020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:14.5
60020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:14.533
60020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:14.563
60020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:14.61
60020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:14.657
60020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:14.69
60020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:14.737
60020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:14.783
60020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:14.813
60020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:14.877
60020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:14.923
60020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:14.953
60020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:14.987
60020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:15.033
60020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:15.063
60020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:15.11
60020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:15.14
60020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:15.173
60020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:15.203
60020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:15.25
60020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:15.283
60020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:15.33
60020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:15.377
60020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:15.44
60020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:15.487
60020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:15.547
60020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:15.61
60020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:15.673
60020,B,4,200350,S,2.688,1.376,2010-11-11 11:09:15.703
60020,B,6,200350,S,2.741,1.47,2010-11-11 11:09:15.75
60020,E,9,200350,S,2.95,1.35,2010-11-11 11:09:15.783
60020,E,12,200350,S,2.2,1.35,2010-11-11 11:09:15.83
60020,C,13,200350,S,3.15,1.35,2010-11-11 11:09:15.877
60020,D,10,200350,S,1.125,1.125,2010-11-11 11:09:15.907
