CodigoAglomerante,Ano,Mes,ParametroX,ParametroY,DataAlteracao
12051,2010,8,2.0087,-0.1198,2010-10-01 16:18:19.13
12051,2010,9,2.0087,-0.1198,2010-10-01 16:18:19.13
12051,2010,10,2.0087,-0.1198,2010-10-01 16:18:19.147
12051,2010,8,2.9465,-0.4584,2010-10-01 16:35:24.89
12051,2010,9,2.9465,-0.4584,2010-10-01 16:35:24.907
12051,2010,10,2.9465,-0.4584,2010-10-01 16:35:24.907
12051,2010,8,2.7692,-0.396,2010-10-01 16:38:21.04
12051,2010,9,2.7692,-0.396,2010-10-01 16:38:21.053
12051,2010,10,2.7692,-0.396,2010-10-01 16:38:21.07
3051,2010,9,2.6991,-0.3901,2010-10-14 13:00:59.177
3051,2010,10,2.6991,-0.3901,2010-10-14 13:00:59.21
3051,2010,9,2.3988,-0.2945,2010-10-14 13:26:50.153
3051,2010,10,2.3988,-0.2945,2010-10-14 13:26:50.17
3051,2010,9,2.6991,-0.3901,2010-10-14 13:35:19.77
3051,2010,10,2.6991,-0.3901,2010-10-14 13:35:19.77
3051,2010,9,2.6991,-0.3901,2010-10-14 13:46:51.257
3051,2010,10,2.6991,-0.3901,2010-10-14 13:46:51.27
3051,2010,9,2.6484,-0.3701,2010-10-14 13:49:21.03
3051,2010,10,2.6484,-0.3701,2010-10-14 13:49:21.047
3051,2010,9,2.6991,-0.3901,2010-10-14 13:51:37.323
3051,2010,10,2.6991,-0.3901,2010-10-14 13:51:37.337
3051,2010,9,2.556,-0.3139,2010-10-14 13:54:03.13
3051,2010,10,2.556,-0.3139,2010-10-14 13:54:03.143
3051,2010,9,2.6991,-0.3901,2010-10-14 14:03:21.43
3051,2010,10,2.6991,-0.3901,2010-10-14 14:03:21.447
3051,2010,9,2.5198,-0.303,2010-10-14 15:50:03.723
3051,2010,10,2.5198,-0.303,2010-10-14 15:50:03.74
8051,2010,9,2.1463,-0.185,2010-10-14 17:07:11.373
8051,2010,10,2.1463,-0.185,2010-10-14 17:07:11.39
3051,2010,9,2.6991,-0.3901,2010-10-15 09:19:39.057
3051,2010,10,2.6991,-0.3901,2010-10-15 09:19:39.087
3051,2010,9,2.5909,-0.3356,2010-10-15 09:21:56.33
3051,2010,10,2.5909,-0.3356,2010-10-15 09:21:56.33
3051,2010,9,3.1708,-0.5158,2010-10-15 09:38:33.207
3051,2010,10,3.1708,-0.5158,2010-10-15 09:38:33.223
3051,2010,9,2.5909,-0.3356,2010-10-15 09:48:45.023
3051,2010,10,2.5909,-0.3356,2010-10-15 09:48:45.04
3051,2010,9,2.6452,-0.3876,2010-10-15 09:58:12.797
3051,2010,10,2.6452,-0.3876,2010-10-15 09:58:12.81
13051,2010,9,2.389,-0.2858,2010-10-15 10:56:51.81
13051,2010,10,2.389,-0.2858,2010-10-15 10:56:51.857
13051,2010,9,2.4991,-0.3199,2010-10-15 11:02:18.107
13051,2010,10,2.4991,-0.3199,2010-10-15 11:02:18.123
13051,2010,9,2.7664,-0.3921,2010-10-15 11:23:47.737
13051,2010,10,2.7664,-0.3921,2010-10-15 11:23:47.753
10051,2010,7,1.93,-0.1793,2010-07-17 12:34:10.45
6051,2010,8,2.275,-0.209,2010-08-06 15:22:57.143
7051,2010,7,1.5411,-0.0836,2010-08-28 09:42:26.123
7051,2010,8,1.5411,-0.0836,2010-08-28 09:42:26.14
11051,2010,7,2.7466,-0.3958,2010-08-28 10:44:22.213
11051,2010,8,2.7466,-0.3958,2010-08-28 10:44:22.23
10051,2010,9,1.93,-0.1793,2010-09-01 11:31:23.23
8051,2010,8,2.0421,-0.1249,2010-09-03 15:14:00.003
8051,2010,9,2.0421,-0.1249,2010-09-03 15:14:00.02
15051,2010,8,2.6122,-0.3915,2010-09-23 15:06:44.963
15051,2010,9,2.6122,-0.3915,2010-09-23 15:06:44.98
15051,2010,8,2.4219,-0.3369,2010-09-23 15:39:58.313
15051,2010,9,2.4219,-0.3369,2010-09-23 15:39:58.313
12051,2010,8,2.6266,-0.3877,2010-09-24 14:23:07.28
12051,2010,9,2.6266,-0.3877,2010-09-24 14:23:07.293
12051,2010,8,2.6411,-0.3312,2010-09-24 14:48:45.573
12051,2010,9,2.6411,-0.3312,2010-09-24 14:48:45.573
4051,2010,10,1.9138,-0.1793,2010-10-01 08:21:44.09
13051,2010,10,2.3734,-0.2547,2010-10-01 08:49:19.96
3051,2010,8,2.9412,-0.4743,2010-10-01 09:56:09.177
3051,2010,9,2.9412,-0.4743,2010-10-01 09:56:09.177
3051,2010,10,2.9412,-0.4743,2010-10-01 09:56:09.19
12051,2010,8,2.0087,-0.1198,2010-10-01 15:52:13.303
12051,2010,9,2.0087,-0.1198,2010-10-01 15:52:13.303
12051,2010,8,2.3926,-0.2921,2010-10-01 16:25:17.063
12051,2010,9,2.3926,-0.2921,2010-10-01 16:25:17.08
12051,2010,10,2.3926,-0.2921,2010-10-01 16:25:17.093
3051,2010,9,2.5198,-0.303,2010-10-08 16:35:29.577
3051,2010,10,2.5198,-0.303,2010-10-08 16:35:29.593
13051,2010,9,2.389,-0.2858,2010-10-14 14:46:08.69
13051,2010,10,2.389,-0.2858,2010-10-14 14:46:08.707
15051,2010,9,2.4872,-0.3347,2010-10-14 17:35:34.86
15051,2010,10,2.4872,-0.3347,2010-10-14 17:35:34.877
13051,2010,9,2.5993,-0.3419,2010-10-15 11:25:40.403
13051,2010,10,2.5993,-0.3419,2010-10-15 11:25:40.42
13051,2010,9,2.4435,-0.2973,2010-10-15 11:48:00.5
13051,2010,10,2.4435,-0.2973,2010-10-15 11:48:00.517
13051,2010,9,2.6816,-0.3662,2010-10-15 11:52:58.99
13051,2010,10,2.6816,-0.3662,2010-10-15 11:52:59.003
13051,2010,9,2.4991,-0.3199,2010-10-15 11:55:36.417
13051,2010,10,2.4991,-0.3199,2010-10-15 11:55:36.433
13051,2010,9,2.389,-0.2858,2010-10-15 11:58:07.253
13051,2010,10,2.389,-0.2858,2010-10-15 11:58:07.27
13051,2010,9,2.389,-0.2858,2010-10-15 16:09:18.97
13051,2010,10,2.389,-0.2858,2010-10-15 16:09:18.987
13051,2010,9,2.4435,-0.2973,2010-10-15 16:11:00.997
13051,2010,10,2.4435,-0.2973,2010-10-15 16:11:00.997
13051,2010,9,2.389,-0.2858,2010-10-15 16:18:38.507
13051,2010,10,2.389,-0.2858,2010-10-15 16:18:38.523
12051,2010,9,2.8724,-0.4339,2010-10-15 16:52:11.12
12051,2010,10,2.8724,-0.4339,2010-10-15 16:52:11.137
12051,2010,9,2.7442,-0.392,2010-10-15 16:58:43.977
12051,2010,10,2.7442,-0.392,2010-10-15 16:58:43.993
12051,2010,9,2.8385,-0.4348,2010-10-15 17:01:18.94
12051,2010,10,2.8385,-0.4348,2010-10-15 17:01:18.953
8051,2010,9,2.3619,-0.2968,2010-10-22 17:03:20.957
8051,2010,10,2.3619,-0.2968,2010-10-22 17:03:20.987
15051,2010,9,2.2598,-0.2897,2010-10-22 17:20:05.88
15051,2010,10,2.2598,-0.2897,2010-10-22 17:20:05.893
15051,2010,9,2.3216,-0.305,2010-10-22 17:24:42.507
15051,2010,10,2.3216,-0.305,2010-10-22 17:24:42.523
15051,2010,9,2.4874,-0.3337,2010-10-22 17:40:05.263
15051,2010,10,2.4874,-0.3337,2010-10-22 17:40:05.28
12051,2010,9,2.5264,-0.339,2010-10-22 17:56:19.063
12051,2010,10,2.5264,-0.339,2010-10-22 17:56:19.08
12051,2010,9,2.5688,-0.3582,2010-10-22 18:00:27.507
12051,2010,10,2.5688,-0.3582,2010-10-22 18:00:27.52
12051,2010,9,2.5575,-0.3595,2010-10-22 18:03:37.17
12051,2010,10,2.5575,-0.3595,2010-10-22 18:03:37.183
12051,2010,9,2.5732,-0.3563,2010-10-22 18:06:47.643
12051,2010,10,2.5732,-0.3563,2010-10-22 18:06:47.643
3051,2010,9,2.5826,-0.3571,2010-10-23 10:11:20.08
3051,2010,10,2.5826,-0.3571,2010-10-23 10:11:20.11
4051,2010,9,1.9138,-0.1793,2010-10-23 10:12:32.5
4051,2010,10,1.9138,-0.1793,2010-10-23 10:12:32.517
3051,2010,11,2.5826,-0.3571,2010-10-23 10:15:35.037
4051,2010,11,1.9138,-0.1793,2010-10-23 10:16:34.177
7051,2010,9,1.5411,-0.0836,2010-10-23 10:19:36.963
7051,2010,10,1.5411,-0.0836,2010-10-23 10:19:36.98
7051,2010,11,1.5411,-0.0836,2010-10-23 10:19:36.98
10051,2010,11,1.93,-0.1793,2010-10-23 10:24:51.497
