,CodigoReceita,Volume,TipoLancamento,QuantidadeAgua,ConsumoTotal,TipoTraco,FCK,Rompimento7Dias,Rompimento28Dias,ResultadoEsperado
3120,23009051,6.5,B,1034.0,1917.5,N,25.0,19.46,26.64,43.4050621264421
3122,23009051,6.5,B,1034.0,1917.5,N,25.0,22.52,29.14,43.4050621264421
3130,23009051,8.0,B,1224.0,2376.0,N,25.0,22.58,33.48,43.688783513916206
3132,23009051,8.0,B,1224.0,2376.0,N,25.0,23.19,32.03,43.688783513916206
3133,23009051,8.0,B,1224.0,2376.0,N,25.0,22.56,32.5,43.688783513916206
3135,23009051,8.0,B,1224.0,2376.0,N,25.0,21.32,29.25,43.688783513916206
3137,23009051,8.0,B,1224.0,2376.0,N,25.0,20.56,29.79,43.688783513916206
3139,23009051,8.0,B,1224.0,2376.0,N,25.0,19.86,27.96,43.688783513916206
3141,23009051,8.0,B,1224.0,2376.0,N,25.0,18.11,26.82,43.688783513916206
3143,23009051,8.0,B,1224.0,2376.0,N,25.0,19.49,26.19,43.688783513916206
3145,23009051,8.0,B,1224.0,2376.0,N,25.0,21.4,29.51,43.688783513916206
3147,23009051,8.0,B,1224.0,2376.0,N,25.0,19.08,27.68,43.688783513916206
3149,23009051,8.0,B,1224.0,2376.0,N,25.0,19.4,27.0,43.688783513916206
3151,23009051,8.0,B,1224.0,2376.0,N,25.0,18.56,28.01,43.688783513916206
3153,23009051,8.0,B,1224.0,2376.0,N,25.0,19.9,27.71,43.688783513916206
3155,23009051,6.0,B,918.0,1782.0,N,25.0,20.2,29.57,43.688783513916206
3157,23009051,8.0,B,1224.0,2376.0,N,25.0,17.54,25.13,43.688783513916206
3162,23009051,8.0,B,1296.0,2376.0,N,25.0,18.59,28.22,40.99395973552512
3166,23009051,8.0,B,1296.0,2376.0,N,25.0,16.82,25.31,40.99395973552512
3167,23009051,8.0,B,1296.0,2376.0,N,25.0,17.19,25.35,40.99395973552512
3169,23009051,8.0,B,1376.0,2376.0,N,25.0,15.8,25.3,38.194212220714874
3171,23009051,8.0,B,1376.0,2376.0,N,25.0,17.1,25.35,38.194212220714874
3173,23009051,8.0,B,1376.0,2376.0,N,25.0,,,38.194212220714874
3174,23009051,8.0,B,1376.0,2376.0,N,25.0,18.61,27.48,38.194212220714874
3176,23009051,8.0,B,1376.0,2376.0,N,25.0,16.51,26.69,38.194212220714874
