CodigoReceita;Idade;TipoTraco;CodigoAglomerante;FCK;RelacaoAguaCimento
2565051;28;N;11051;25.00;0.661
2772051;28;N;18051;25.00;0.703
3174051;28;N;4051;25.00;0.744
3197051;28;N;7051;25.00;0.832
3643051;28;N;17051;25.00;0.836
4895051;28;N;18051;25.00;0.740
5018051;28;N;25051;25.00;0.650
5745051;28;N;17051;25.00;0.823
8093051;28;N;26051;25.00;0.703
8919051;28;N;27051;25.00;0.719
8958051;28;N;29051;25.00;0.713
9433051;28;N;10051;25.00;0.824
11173051;28;N;24051;25.00;0.810
15024051;28;N;43051;25.00;0.638
15847051;28;N;45051;25.00;0.632
15890051;28;N;44051;25.00;0.697
16012051;28;N;14051;25.00;0.770
16061051;28;N;46051;25.00;0.630
16249051;28;N;10051;25.00;0.729
16371051;28;N;17051;25.00;0.718
19579051;28;N;15051;25.00;0.699
19581051;28;N;18051;25.00;0.699
20226051;28;N;55051;25.00;0.741
20785051;28;N;57051;25.00;0.685
21231051;28;N;59051;25.00;0.642
21563051;28;N;58051;25.00;0.724
22368051;28;N;60051;25.00;0.713
22476051;28;N;62051;25.00;0.750
22478051;28;N;41051;25.00;0.715
22645051;28;N;42051;25.00;0.750
23759051;28;N;63051;25.00;0.697
23761051;28;N;15051;25.00;0.699
24124051;28;N;64051;25.00;0.685
24366051;28;N;12051;25.00;0.643
24368051;28;N;57051;25.00;0.685
24547051;28;N;11051;25.00;0.661
25697051;28;N;64051;25.00;0.685
25950051;28;N;63051;25.00;0.689
25952051;28;N;41051;25.00;0.673
26350051;28;N;64051;25.00;0.675
26520051;28;N;65051;25.00;0.655
26826051;28;N;63051;25.00;0.689
26828051;28;N;41051;25.00;0.658
28008051;28;N;42051;25.00;0.658
28032051;28;N;60051;25.00;0.713
28034051;28;N;61051;25.00;0.759
28108051;28;N;29051;25.00;0.675
28110051;28;N;3051;25.00;0.687
28158051;28;N;13051;25.00;0.715
29099051;28;N;68051;25.00;0.757
29184051;28;N;68051;25.00;0.707
29726051;28;N;70051;25.00;0.671
29875051;28;N;62051;25.00;0.757
29895051;28;N;71051;25.00;0.680
30002051;28;N;72051;25.00;0.692
30449051;28;N;70051;25.00;0.766
30761051;28;N;61051;25.00;0.776
30820051;28;N;66051;25.00;0.719
31248051;28;N;71051;25.00;0.681
31757051;28;N;28051;25.00;0.732
31808051;28;N;56051;25.00;0.717
32530051;28;N;74051;25.00;0.639
32536051;28;N;74051;25.00;0.639
34103051;28;N;60051;25.00;0.684
34907051;28;N;75051;25.00;0.614
35929051;28;N;79051;25.00;0.742
37521051;28;N;77051;25.00;0.680
37904051;28;N;82051;25.00;0.697
38300051;28;N;85051;25.00;0.740
38335051;28;N;85051;25.00;0.663
38354051;28;N;88051;25.00;0.633
38981051;28;N;81051;25.00;0.712
39352051;28;N;94051;25.00;0.679
39710051;28;N;96051;25.00;0.739
40040051;28;N;93051;25.00;0.691
40583051;28;N;68051;25.00;0.771
40931051;28;N;62051;25.00;0.802
41800051;28;N;91051;25.00;0.755
42079051;28;N;95051;25.00;0.773
42116051;28;N;92051;25.00;0.755
42453051;28;N;4051;25.00;0.807
43783051;28;N;107051;25.00;0.886
43805051;28;N;106051;25.00;0.888
44084051;28;N;11051;25.00;0.837
44275051;28;N;108051;25.00;0.871
44276051;28;N;109051;25.00;0.871
45157051;28;N;108051;25.00;0.802
48837051;28;N;111051;25.00;0.793
48848051;28;N;112051;25.00;0.793
48850051;28;N;113051;25.00;0.744
48852051;28;N;114051;25.00;0.744
48958051;28;N;119051;25.00;0.706
49908051;28;N;120051;25.00;0.806
50943051;28;N;118051;25.00;0.831
50944051;28;N;117051;25.00;0.831
50947051;28;N;115051;25.00;0.835
50949051;28;N;116051;25.00;0.835
51949051;28;N;44051;25.00;0.691
52486051;28;N;109051;25.00;0.896
55291051;28;N;122051;25.00;0.830
56738051;28;N;109051;25.00;0.929
17051;28;N;3051;30.00;0.605
364051;28;N;8051;30.00;0.695
365051;28;N;41051;30.00;0.700
366051;28;N;12051;30.00;0.577
531051;28;N;3051;30.00;0.680
691051;28;N;41051;30.00;0.636
751051;28;N;13051;30.00;0.630
1056051;28;N;10051;30.00;0.704
1360051;28;N;15051;30.00;0.688
1947051;28;N;14051;30.00;0.731
2581051;28;N;11051;30.00;0.581
2774051;28;N;18051;30.00;0.642
